,price,kms_driven,owner,age,power,brand
0,35000.0,17654.0,First Owner,3.0,110.0,TVS
1,119900.0,11000.0,First Owner,4.0,350.0,Royal Enfield
2,600000.0,110.0,First Owner,8.0,675.0,Triumph
3,65000.0,16329.0,First Owner,4.0,180.0,TVS
4,80000.0,10000.0,First Owner,3.0,150.0,Yamaha
5,53499.0,25000.0,First Owner,6.0,150.0,Yamaha
6,85000.0,8200.0,First Owner,3.0,160.0,Honda
7,45000.0,12645.0,First Owner,3.0,100.0,Hero
8,145000.0,9190.0,First Owner,3.0,350.0,Royal Enfield
9,88000.0,19000.0,Second Owner,7.0,500.0,Royal Enfield
10,72000.0,20000.0,First Owner,7.0,150.0,Yamaha
11,95000.0,9665.0,First Owner,4.0,250.0,Yamaha
12,78000.0,9900.0,First Owner,4.0,200.0,Bajaj
13,29499.0,20000.0,First Owner,8.0,100.0,Bajaj
14,29900.0,20000.0,First Owner,7.0,125.0,Bajaj
15,90000.0,11574.0,First Owner,3.0,200.0,Bajaj
16,120000.0,23000.0,First Owner,3.0,200.0,Bajaj
17,48000.0,24725.0,First Owner,5.0,150.0,Suzuki
18,240000.0,15025.0,Second Owner,3.0,302.0,Benelli
22,46500.0,3500.0,First Owner,2.0,110.0,Hero
23,121700.0,24520.0,First Owner,5.0,500.0,Royal Enfield
24,45000.0,23000.0,First Owner,6.0,150.0,Yamaha
26,20000.0,29305.0,First Owner,16.0,125.0,Hero
27,20800.0,30500.0,Second Owner,7.0,125.0,Honda
28,50000.0,19000.0,First Owner,8.0,150.0,Bajaj
29,81200.0,9100.0,First Owner,2.0,160.0,Honda
30,88000.0,21914.0,First Owner,3.0,200.0,Bajaj
31,80000.0,20000.0,Second Owner,4.0,150.0,Yamaha
32,40900.0,15000.0,First Owner,6.0,220.0,Bajaj
33,180000.0,17700.0,First Owner,4.0,390.0,KTM
34,40000.0,30000.0,First Owner,8.0,150.0,Honda
35,70000.0,100000.0,Second Owner,8.0,200.0,KTM
36,98800.0,39000.0,First Owner,5.0,350.0,Royal Enfield
37,65000.0,43000.0,First Owner,6.0,150.0,Honda
38,190500.0,4550.0,First Owner,2.0,500.0,Royal Enfield
39,179000.0,3400.0,First Owner,2.0,200.0,KTM
40,70000.0,45000.0,First Owner,8.0,350.0,Royal Enfield
41,45000.0,36100.0,First Owner,6.0,220.0,Bajaj
42,78000.0,8500.0,First Owner,13.0,350.0,Royal Enfield
43,110000.0,2550.0,First Owner,2.0,220.0,Bajaj
44,85000.0,18000.0,First Owner,6.0,350.0,Royal Enfield
45,38000.0,35000.0,First Owner,9.0,200.0,Bajaj
46,55346.0,38000.0,First Owner,10.0,350.0,Royal Enfield
47,28000.0,45000.0,First Owner,2.0,110.0,Mahindra
48,37000.0,10800.0,First Owner,8.0,150.0,Hero
49,97000.0,4400.0,First Owner,3.0,150.0,Suzuki
50,40000.0,357000.0,First Owner,8.0,150.0,Yamaha
51,90000.0,15300.0,First Owner,7.0,350.0,Royal Enfield
52,60000.0,30000.0,First Owner,5.0,160.0,TVS
53,21900.0,30000.0,Second Owner,7.0,125.0,Honda
54,40000.0,64000.0,First Owner,7.0,220.0,Bajaj
55,475000.0,11500.0,Second Owner,3.0,600.0,Benelli
56,34500.0,17056.0,First Owner,5.0,110.0,Honda
57,25000.0,172082.0,First Owner,9.0,150.0,Yamaha
58,30200.0,45000.0,First Owner,7.0,150.0,Suzuki
59,65000.0,35000.0,First Owner,5.0,220.0,Bajaj
60,25000.0,38000.0,First Owner,9.0,150.0,Bajaj
61,935000.0,2500.0,First Owner,2.0,900.0,Kawasaki
62,107100.0,15438.0,Second Owner,3.0,350.0,Royal Enfield
63,80000.0,6000.0,First Owner,3.0,220.0,Bajaj
64,88000.0,19000.0,First Owner,5.0,350.0,Royal Enfield
65,94700.0,32700.0,First Owner,4.0,200.0,KTM
66,12200.0,46643.0,First Owner,14.0,100.0,Hero
67,106000.0,19000.0,First Owner,6.0,350.0,Royal Enfield
68,29500.0,40700.0,First Owner,12.0,220.0,Bajaj
69,290000.0,11350.0,First Owner,7.0,650.0,Kawasaki
70,110000.0,1600.0,First Owner,6.0,350.0,Royal Enfield
71,27000.0,44410.0,First Owner,10.0,125.0,Bajaj
72,65000.0,9800.0,First Owner,11.0,350.0,Royal Enfield
73,150000.0,15000.0,First Owner,3.0,350.0,Royal Enfield
74,55786.0,68000.0,Second Owner,7.0,223.0,Hero
75,45000.0,17757.0,First Owner,8.0,180.0,Bajaj
76,146000.0,3900.0,First Owner,2.0,250.0,Yamaha
77,115000.0,23700.0,First Owner,4.0,350.0,Royal Enfield
78,30000.0,8250.0,First Owner,3.0,100.0,Bajaj
79,93100.0,10000.0,First Owner,5.0,200.0,Bajaj
80,82000.0,4300.0,Second Owner,3.0,150.0,Yamaha
81,260000.0,3800.0,First Owner,2.0,650.0,Royal Enfield
82,38000.0,33000.0,First Owner,7.0,125.0,Honda
83,130000.0,17500.0,Second Owner,4.0,250.0,KTM
84,118000.0,19000.0,First Owner,4.0,410.0,Royal Enfield
85,14700.0,10000.0,First Owner,11.0,135.0,Bajaj
86,85000.0,54000.0,First Owner,6.0,350.0,Royal Enfield
87,40000.0,27000.0,First Owner,7.0,220.0,Bajaj
88,50000.0,19000.0,First Owner,6.0,150.0,Yamaha
89,71800.0,43500.0,First Owner,7.0,350.0,Royal Enfield
91,75000.0,11575.0,First Owner,4.0,200.0,Bajaj
92,1350000.0,190.0,First Owner,1.0,1100.0,Ducati
93,790000.0,19000.0,First Owner,3.0,765.0,Triumph
94,47000.0,8600.0,First Owner,4.0,150.0,Bajaj
95,60000.0,2000.0,First Owner,2.0,150.0,Bajaj
96,96700.0,5100.0,First Owner,1.0,150.0,Suzuki
97,31900.0,9000.0,First Owner,5.0,100.0,Hero
98,35000.0,44480.0,First Owner,13.0,150.0,Bajaj
99,240000.0,11000.0,First Owner,3.0,390.0,KTM
100,68000.0,16000.0,First Owner,7.0,250.0,Honda
101,80000.0,26691.0,First Owner,5.0,200.0,Bajaj
102,135000.0,45000.0,First Owner,5.0,350.0,Royal Enfield
103,11100.0,12000.0,Third Owner,12.0,150.0,Bajaj
104,480000.0,14200.0,First Owner,4.0,600.0,Benelli
105,65000.0,41000.0,First Owner,3.0,150.0,Suzuki
106,60000.0,15000.0,First Owner,5.0,150.0,Yamaha
107,80000.0,12314.0,First Owner,4.0,150.0,Honda
108,46000.0,11760.0,First Owner,3.0,100.0,Hero
109,95000.0,22000.0,First Owner,11.0,500.0,Royal Enfield
110,400000.0,1800.0,First Owner,4.0,650.0,Hyosung
